file,category,status
2024-12-07_1816_Weekly Time Entries for 11632.xlsx,weekly,uploaded
2024-12-20_1955_11673.pdf,weekly,uploaded
2024-12-20_1955_VTD _ Weekly Invoice 11673 for your review.eml,weekly,uploaded
2024-12-20_1955_Weekly Time Entries for 11673.xlsx,weekly,uploaded
2024-12-23_1532_11706.pdf,weekly,uploaded
2024-12-23_1532_VTD _ Weekly Invoice 11706 for your review.eml,weekly,uploaded
2024-12-23_1532_Weekly Time Entries for 11706.xlsx,weekly,uploaded
2024-12-28_1817_11764.pdf,weekly,uploaded
2024-12-28_1817_VTD _ Weekly Invoice 11764 for your review.eml,weekly,uploaded
2024-12-28_1817_Weekly Time Entries for 11764.xlsx,weekly,uploaded
2025-01-04_1817_11859.pdf,weekly,uploaded
2025-01-04_1817_VTD _ Weekly Invoice 11859 for your review.eml,weekly,uploaded
2025-01-04_1817_Weekly Time Entries for 11859.xlsx,weekly,uploaded
2025-01-11_1820_11896.pdf,weekly,uploaded
2025-01-11_1820_VTD _ Weekly Invoice 11896 for your review.eml,weekly,uploaded
2025-01-11_1820_Weekly Time Entries for 11896.xlsx,weekly,uploaded
2025-01-18_1821_11945.pdf,weekly,uploaded
2025-01-18_1821_VTD _ Weekly Invoice 11945 for your review.eml,weekly,uploaded
2025-01-18_1821_Weekly Time Entries for 11945.xlsx,weekly,uploaded
2025-01-25_1821_11984.pdf,weekly,uploaded
2025-01-25_1821_VTD _ Weekly Invoice 11984 for your review.eml,weekly,uploaded
2025-01-25_1821_Weekly Time Entries for 11984.xlsx,weekly,uploaded
2025-02-01_1818_12020.pdf,weekly,uploaded
2025-02-01_1818_VTD _ Weekly Invoice 12020 for your review.eml,weekly,uploaded
2025-02-01_1818_Weekly Time Entries for 12020.xlsx,weekly,uploaded
2025-02-08_1817_12117.pdf,weekly,uploaded
2025-02-08_1817_VTD _ Weekly Invoice 12117 for your review.eml,weekly,uploaded
2025-02-08_1817_Weekly Time Entries for 12117.xlsx,weekly,uploaded
2025-02-10_0724_12133.pdf,weekly,uploaded
2025-02-10_0724_VTD _ Weekly Out of Contract Invoice 12133 for your review.eml,weekly,uploaded
2025-02-10_0724_Weekly Time Entries for 12133.xlsx,weekly,uploaded
2025-02-17_1128_12159.pdf,weekly,uploaded
2025-02-17_1128_VTD _ Weekly Invoice 12159 for your review.eml,weekly,uploaded
2025-02-17_1128_Weekly Time Entries for 12159.xlsx,weekly,uploaded
2025-02-24_0812_11797.pdf,weekly,uploaded
2025-02-24_0812_VTD _ Weekly Invoice 11797 for your review.eml,weekly,uploaded
2025-02-24_0812_Weekly Time Entries for 11797.xlsx,weekly,uploaded
2025-03-01_1806_11725050.pdf,weekly,uploaded
2025-03-01_1806_VTD _ Weekly Invoice 11725050 for your review.eml,weekly,uploaded
2025-03-01_1806_Weekly Time Entries for 11725050.xlsx,weekly,uploaded
2025-03-08_1806_25047.pdf,weekly,uploaded
2025-03-08_1806_VTD _ Weekly Invoice 25047 for your review.eml,weekly,uploaded
2025-03-08_1806_Weekly Time Entries for 25047.xlsx,weekly,uploaded
2025-03-17_0707_25081.pdf,weekly,uploaded
2025-03-17_0707_VTD _ Weekly Invoice 25081 for your review.eml,weekly,uploaded
2025-03-17_0707_Weekly Time Entries for 25081.xlsx,weekly,uploaded
2025-03-17_0713_25095.pdf,weekly,uploaded
2025-03-17_0713_VTD _ Weekly Out of Contract Invoice 25095 for your review.eml,weekly,uploaded
2025-03-17_0713_Weekly Time Entries for 25095.xlsx,weekly,uploaded
2025-03-22_1707_25127.pdf,weekly,uploaded
2025-03-22_1707_VTD _ Weekly Invoice 25127 for your review.eml,weekly,uploaded
2025-03-22_1707_Weekly Time Entries for 25127.xlsx,weekly,uploaded
2025-03-29_1706_25163.pdf,weekly,uploaded
2025-03-29_1706_VTD _ Weekly Invoice 25163 for your review.eml,weekly,uploaded
2025-03-29_1706_Weekly Time Entries for 25163.xlsx,weekly,uploaded
2025-03-31_0720_25176.pdf,weekly,uploaded
2025-03-31_0720_VTD _ Weekly Out of Contract Invoice 25176 for your review.eml,weekly,uploaded
2025-03-31_0720_Weekly Time Entries for 25176.xlsx,weekly,uploaded
2025-04-05_1706_25266.pdf,weekly,uploaded
2025-04-05_1706_VTD _ Weekly Invoice 25266 for your review.eml,weekly,uploaded
2025-04-05_1706_Weekly Time Entries for 25266.xlsx,weekly,uploaded
2025-04-07_0852_25279.pdf,weekly,uploaded
2025-04-07_0852_VTD _ Weekly Out of Contract Invoice 25279 for your review.eml,weekly,uploaded
2025-04-07_0852_Weekly Time Entries for 25279.xlsx,weekly,uploaded
2025-04-21_0933_25358.pdf,weekly,uploaded
2025-04-21_0933_VTD _ Weekly Invoice 25358 for your review.eml,weekly,uploaded
2025-04-21_0933_Weekly Time Entries for 25358.xlsx,weekly,uploaded
2025-04-21_0939_25370.pdf,weekly,uploaded
2025-04-21_0939_VTD _ Weekly Out of Contract Invoice 25370 for your review.eml,weekly,uploaded
2025-04-21_0939_Weekly Time Entries for 25370.xlsx,weekly,uploaded
2025-04-26_1708_25399.pdf,weekly,uploaded
2025-04-26_1708_VTD _ Weekly Invoice 25399 for your review.eml,weekly,uploaded
2025-04-26_1708_Weekly Time Entries for 25399.xlsx,weekly,uploaded
2025-05-05_0635_25508.pdf,weekly,uploaded
2025-05-05_0635_VTD _ Weekly Invoice 25508 for your review.eml,weekly,uploaded
2025-05-05_0635_Weekly Time Entries for 25508.xlsx,weekly,uploaded
2025-05-10_1708_25548.pdf,weekly,uploaded
2025-05-10_1708_VTD _ Weekly Invoice 25548 for your review.eml,weekly,uploaded
2025-05-10_1708_Weekly Time Entries for 25548.xlsx,weekly,uploaded
2025-05-17_1709_25586.pdf,weekly,uploaded
2025-05-17_1709_VTD _ Weekly Invoice 25586 for your review.eml,weekly,uploaded
2025-05-17_1709_Weekly Time Entries for 25586.xlsx,weekly,uploaded
2025-05-24_1709_25621.pdf,weekly,uploaded
2025-05-24_1709_VTD _ Weekly Invoice 25621 for your review.eml,weekly,uploaded
2025-05-24_1709_Weekly Time Entries for 25621.xlsx,weekly,uploaded
2025-06-02_0651_25662.pdf,weekly,uploaded
2025-06-02_0651_VTD _ Weekly Invoice 25662 for your review.eml,weekly,uploaded
2025-06-02_0651_Weekly Time Entries for 25662.xlsx,weekly,uploaded
2025-06-07_1708_25773.pdf,weekly,uploaded
2025-06-07_1708_VTD _ Weekly Invoice 25773 for your review.eml,weekly,uploaded
2025-06-07_1708_Weekly Time Entries for 25773.xlsx,weekly,uploaded
2025-06-14_1708_25812.pdf,weekly,uploaded
2025-06-14_1708_VTD _ Weekly Invoice 25812 for your review.eml,weekly,uploaded
2025-06-14_1708_Weekly Time Entries for 25812.xlsx,weekly,uploaded
2025-06-23_1337_25850.pdf,weekly,uploaded
2025-06-23_1337_VTD _ Weekly Invoice 25850 for your review.eml,weekly,uploaded
2025-06-23_1337_Weekly Time Entries for 25850.xlsx,weekly,uploaded
2025-06-28_1711_25889.pdf,weekly,uploaded
2025-06-28_1711_VTD _ Weekly Invoice 25889 for your review.eml,weekly,uploaded
2025-06-28_1711_Weekly Time Entries for 25889.xlsx,weekly,uploaded
2025-07-05_1711_25992.pdf,weekly,uploaded
2025-07-05_1711_VTD _ Weekly Invoice 25992 for your review.eml,weekly,uploaded
2025-07-05_1711_Weekly Time Entries for 25992.xlsx,weekly,uploaded
2025-07-12_1712_26029.pdf,weekly,uploaded
2025-07-12_1712_VTD _ Weekly Invoice 26029 for your review.eml,weekly,uploaded
2025-07-12_1712_Weekly Time Entries for 26029.xlsx,weekly,uploaded
2025-07-21_1919_26074.pdf,weekly,uploaded
2025-07-21_1919_VTD _ Weekly Invoice 26074 for your review.eml,weekly,uploaded
2025-07-21_1919_Weekly Time Entries for 26074.xlsx,weekly,uploaded
2025-07-28_1423_26119.pdf,weekly,uploaded
2025-07-28_1423_VTD _ Weekly Invoice 26119 for your review.eml,weekly,uploaded
2025-07-28_1423_Weekly Time Entries for 26119.xlsx,weekly,uploaded
